"","time","city","loan"
"1154","2007","HARTFORD CITY",198802
"1155","2007","LINCOLNWOOD",189461
"1156","2007","LA GRANGE",312509
"1157","2007","FRANKFORT",355082
"1158","2007","PALATINE",262268
"1159","2007","OKOBOJI",355965
"1160","2007","GRAND RAPIDS",362543
"1161","2007","CRETE",356499
"1162","2007","SPRINGFIELD",236385
"1163","2007","DENMARK",303574
"1164","2007","REINBECK",313099
"1165","2007","MUSCATINE",327546
"1166","2007","EATONTON",252123
"1167","2007","MINNEAPOLIS",263677
"1168","2007","BLYTHEVILLE",258014
"1169","2007","MALAD CITY",134316
"1170","2007","OXFORD",330383
"1171","2007","SALISBURY",268398
"1172","2007","HOWELL",347876
"1173","2007","OPELOUSAS",77152
"1174","2007","EFFINGHAM",284251
"1175","2007","JENNINGS",248028
"1176","2007","HOLLY SPRINGS",40829
"1177","2007","RAWLINS",114384
"1178","2007","EBENSBURG",135755
"1179","2007","SPOKANE",279163
"1180","2007","ALVA",117711
"1181","2007","CHANUTE",150411
"1182","2007","CHARLESTON",158329
"1183","2007","WINTER PARK",368542
"1184","2007","BOCA RATON",319260
"1185","2007","KIRKSVILLE",227244
"1186","2007","TACOMA",217919
"1187","2007","ANN ARBOR",332778
"1188","2007","LOUISVILLE",278462
"1189","2007","JACKSON",209471
"1190","2007","MIAMI",317990
"1191","2007","CHICAGO",439386
"1192","2007","SARASOTA",403144
"1193","2007","ATLANTA",199488
"1194","2007","FORT LAUDERDALE",165923
"1195","2007","JACKSONVILLE",342381
"1196","2007","ALBANY",130984
"1197","2007","DAVIE",271793
"1198","2007","TAPPAHANNOCK",222046
"1199","2007","WINSTED",285700
"1200","2007","SEATTLE",375428
"1201","2007","NEW CASTLE",297201
"1202","2007","PEACHTREE CITY",295535
"1203","2007","VANCOUVER",207505
"1204","2007","FORT MYERS",387900
"1205","2007","QUINCY",353513
"1206","2007","EARTH CITY",381718
"1207","2007","MADISON HEIGHTS",390194
"1208","2007","DALLAS",183152
"1209","2007","NEWPORT BEACH",376449
"1210","2007","EVANSVILLE",239392
"1211","2007","CORDOVA",52609
"1212","2007","MINNETONKA",231267
"1213","2007","CARMEL",171072
"1214","2008","OKLAHOMA CITY",386771
"1215","2008","CASPER",215624
"1216","2008","PIERCE",302245
"1217","2008","GOODLAND",199169
"1218","2008","ALTUS",84720
"1219","2008","TIMBERVILLE",403013
"1220","2008","WARRENTON",439459
"1221","2008","HAWKINSVILLE",284780
"1222","2008","MOULTRIE",149070
"1223","2008","GAINESVILLE",283910
"1224","2008","DOUGLASVILLE",297617
"1225","2008","LACOMBE",348004
"1226","2008","CRAWFORDVILLE",355024
"1227","2008","NATCHEZ",225511
"1228","2008","PELL CITY",188861
"1229","2008","LAVONIA",208004
"1230","2008","CORNELIA",322775
"1231","2008","JACKSONVILLE",673406
"1232","2008","BARTLETT",310100
"1233","2008","BROWNSVILLE",321267
"1234","2008","DEMING",146638
"1235","2008","AMARILLO",291155
"1236","2008","DERBY",365693
"1237","2008","ROCHESTER",331972
"1238","2008","MANISTIQUE",371749
"1239","2008","FORT WALTON BEACH",199388
"1240","2008","CORTLAND",246017
"1241","2008","BATESVILLE",339315
"1242","2008","CHATTANOOGA",388090
"1243","2008","PETERSBURG",325754
"1244","2008","HALLS",168443
"1245","2008","WATERLOO",148921
"1246","2008","MEDFORD",364865
"1247","2008","PATTEN",357083
"1248","2008","LAFAYETTE",261223
"1249","2008","LANCASTER",358280
"1250","2008","HARTFORD CITY",207840
"1251","2008","LINCOLNWOOD",181147
"1252","2008","LA GRANGE",315048
"1253","2008","FRANKFORT",361620
"1254","2008","PALATINE",243972
"1255","2008","GRAND RAPIDS",367321
"1256","2008","CRETE",354604
"1257","2008","SPRINGFIELD",230151
"1258","2008","CHICAGO",860821
"1259","2008","DENMARK",300781
"1260","2008","REINBECK",362948
"1261","2008","MUSCATINE",325631
"1262","2008","EATONTON",301802
"1263","2008","MINNEAPOLIS",587287
"1264","2008","BLYTHEVILLE",293028
"1265","2008","MALAD CITY",152734
"1266","2008","OXFORD",273892
"1267","2008","SALISBURY",319436
"1268","2008","HOWELL",315817
"1269","2008","EFFINGHAM",336908
"1270","2008","JENNINGS",273530
"1271","2008","INVERNESS",292337
"1272","2008","JACKSON",324331
"1273","2008","INDEPENDENCE",337139
"1274","2008","HOLLY SPRINGS",44734
"1275","2008","RAWLINS",104438
"1276","2008","EBENSBURG",139642
"1277","2008","SPOKANE",339938
"1278","2008","ALVA",106687
"1279","2008","CHANUTE",158418
"1280","2008","CLAYTON",390551
"1281","2008","CHARLESTON",183538
"1282","2008","BOCA RATON",337333
"1283","2008","KIRKSVILLE",222180
"1284","2008","TACOMA",242633
"1285","2008","ANN ARBOR",362215
"1286","2008","MIAMI",719884
"1287","2008","SARASOTA",387019
"1288","2008","ATLANTA",233400
"1289","2008","STERLING",186528
"1290","2008","ALBANY",115714
"1291","2008","DAVIE",322307
"1292","2008","WINSTED",298402
"1293","2008","SEATTLE",422671
"1294","2008","ALLENTOWN",313489
"1295","2008","NEW CASTLE",325525
"1296","2008","PEACHTREE CITY",308641
"1297","2008","VANCOUVER",245530
"1298","2008","QUINCY",366296
"1299","2008","EARTH CITY",360721
"1300","2008","MADISON HEIGHTS",375891
"1301","2008","DALLAS",221768
"1302","2008","NEWPORT BEACH",371568
"1303","2008","EVANSVILLE",263454
"1304","2008","PHOENIX",432947
"1305","2008","CORDOVA",59350
"1306","2008","MINNETONKA",257741
"1307","2008","CARMEL",163084
"1308","2009","OKLAHOMA CITY",339291
"1309","2009","YUMA",446429
"1310","2009","CASPER",212822
"1311","2009","PIERCE",320832
"1312","2009","GIRARD",372015
"1313","2009","GOODLAND",171589
"1314","2009","HAWKINSVILLE",248128
"1315","2009","MACON",331392
"1316","2009","MOULTRIE",160230
"1317","2009","GAINESVILLE",296336
"1318","2009","DOUGLASVILLE",261262
"1319","2009","CRAWFORDVILLE",326117
"1320","2009","NATCHEZ",224601
"1321","2009","PELL CITY",157846
"1322","2009","LAVONIA",255691
"1323","2009","WINDER",284363
"1324","2009","CORNELIA",276995
"1325","2009","BARTLETT",250196
"1326","2009","BROWNSVILLE",266947
"1327","2009","DEMING",149901
"1328","2009","AMARILLO",360826
"1329","2009","DERBY",382107
"1330","2009","ROCHESTER",350330
"1331","2009","OSCEOLA",368877
"1332","2009","SAINT PAUL",107112
"1333","2009","FORT WALTON BEACH",182902
"1334","2009","CORTLAND",248248
"1335","2009","PETERSBURG",335482
"1336","2009","HALLS",162605
"1337","2009","WATERLOO",147333
"1338","2009","EDMOND",294290
"1339","2009","MEDFORD",364068
"1340","2009","PATTEN",390744
"1341","2009","POWHATAN",294447
"1342","2009","LANCASTER",339274
"1343","2009","JEFFERSON CITY",256169
"1344","2009","HARTFORD CITY",204433
"1345","2009","LA GRANGE",275744
"1346","2009","FRANKFORT",229752
"1347","2009","PALATINE",256342
"1348","2009","PALOS HEIGHTS",339161
"1349","2009","GRAND RAPIDS",365097
"1350","2009","SPRINGFIELD",222963
"1351","2009","DENMARK",297588
"1352","2009","MUSCATINE",307938
"1353","2009","MINNEAPOLIS",315419
"1354","2009","BLYTHEVILLE",300647
"1355","2009","MALAD CITY",146460
"1356","2009","OXFORD",227949
"1357","2009","SALISBURY",346478
"1358","2009","HOWELL",274046
"1359","2009","JENNINGS",282730
"1360","2009","INVERNESS",251143
"1361","2009","JACKSON",277017
"1362","2009","INDEPENDENCE",338045
"1363","2009","HOLLY SPRINGS",45779
"1364","2009","RAWLINS",108133
"1365","2009","EBENSBURG",140769
"1366","2009","SPOKANE",324280
"1367","2009","CHANUTE",155077
"1368","2009","GRUNDY",320377
"1369","2009","CLAYTON",368884
"1370","2009","DENVER",293794
"1371","2009","CHARLESTON",217316
"1372","2009","BOONE",362791
"1373","2009","WINTER PARK",314978
"1374","2009","BOCA RATON",319468
"1375","2009","KIRKSVILLE",213394
"1376","2009","HATTIESBURG",318795
"1377","2009","TACOMA",196147
"1378","2009","MIAMI",312838
"1379","2009","GURNEE",433343
"1380","2009","CHICAGO",292832
"1381","2009","ATLANTA",240781
"1382","2009","EDEN PRAIRIE",410213
"1383","2009","JACKSONVILLE",390987
"1384","2009","STERLING",136882
"1385","2009","ALBANY",98526
"1386","2009","DAVIE",419985
"1387","2009","WINSTED",294793
"1388","2009","ALLENTOWN",317993
"1389","2009","ALHAMBRA",377511
"1390","2009","NEW CASTLE",326087
"1391","2009","PEACHTREE CITY",265743
"1392","2009","VANCOUVER",230465
"1393","2009","WEST PALM BEACH",358124
"1394","2009","FORT MYERS",251655
"1395","2009","EARTH CITY",326929
"1396","2009","MADISON HEIGHTS",355037
"1397","2009","DALLAS",220518
"1398","2009","NEWPORT BEACH",330487
"1399","2009","RENO",356713
"1400","2009","EVANSVILLE",259142
"1401","2009","PHOENIX",343010
"1402","2009","CORDOVA",90700
"1403","2009","NEW YORK",271816
"1404","2009","MINNETONKA",305174
"1405","2009","INDIANAPOLIS",322707
"1406","2009","LEXINGTON",282303
"1407","2009","CARMEL",130799
"1408","2009","COLORADO SPRINGS",42109
"1409","2009","BELMONT",354491
"1410","2010","ENID",388814
"1411","2010","OKLAHOMA CITY",314205
"1412","2010","CASPER",220851
"1413","2010","MARSHALL",385220
"1414","2010","PIERCE",324636
"1415","2010","GIRARD",357134
"1416","2010","GOODLAND",141160
"1417","2010","HAWKINSVILLE",219412
"1418","2010","MACON",295816
"1419","2010","MOULTRIE",157732
"1420","2010","LAGRANGE",111411
"1421","2010","GAINESVILLE",274146
"1422","2010","ATMORE",261779
"1423","2010","NATCHEZ",216639
"1424","2010","MAGEE",368544
"1425","2010","PELL CITY",132843
"1426","2010","LAVONIA",230177
"1427","2010","CORNELIA",223711
"1428","2010","BELZONI",338832
"1429","2010","BARTLETT",218915
"1430","2010","BROWNSVILLE",228942
"1431","2010","DEMING",151527
"1432","2010","ROCHESTER",342272
"1433","2010","MANISTIQUE",383086
"1434","2010","SAINT MICHAEL",276257
"1435","2010","FORT WALTON BEACH",157820
"1436","2010","CORTLAND",265441
"1437","2010","CHATTANOOGA",285247
"1438","2010","PETERSBURG",329336
"1439","2010","SPRINGFIELD",609767
"1440","2010","JACKSON",414711
"1441","2010","HALLS",149662
"1442","2010","WATERLOO",143714
"1443","2010","LIVINGSTON",220129
"1444","2010","POWHATAN",263303
"1445","2010","LANCASTER",326294
"1446","2010","DURANT",146668
"1447","2010","JEFFERSON CITY",198969
"1448","2010","HARTFORD CITY",205211
"1449","2010","PALATINE",252984
"1450","2010","GRAND RAPIDS",366381
"1451","2010","DENMARK",303070
"1452","2010","MUSCATINE",304381
"1453","2010","MONTICELLO",193491
"1454","2010","BLYTHEVILLE",309120
"1455","2010","FENTON",300354
"1456","2010","MALAD CITY",142769
"1457","2010","OXFORD",191090
"1458","2010","SALISBURY",352250
"1459","2010","HOWELL",235938
"1460","2010","KANSAS CITY",245623
"1461","2010","NEWFIELD",335110
"1462","2010","INVERNESS",225000
"1463","2010","INDEPENDENCE",306083
"1464","2010","HOLLY SPRINGS",47807
"1465","2010","RAWLINS",101359
