"","co","name","time","city","loan","atot"
"343","1086449","FIRST MCMINNVILLE CORP","2001","MCMINNVILLE",140731,"283721"
"344","1086458","SEVIER CTY BSHRS","2001","SEVIERVILLE",120183,"261265"
"345","1086506","LAFOLLETTE FIRST NAT CORP","2001","LA FOLLETTE",91196,"153920"
"346","1086533","HANCOCK HC","2001","GULFPORT",1890837,"3679408"
"347","1086654","MIDSOUTH BC","2001","LAFAYETTE",214390,"363780"
"348","1086748","LIBERTY SHARES","2001","HINESVILLE",126748,"217167"
"349","1086766","HABERSHAM BC","2001","CORNELIA",440528,"548206"
"350","1086814","FMB BSHRS","2001","LAKELAND",136518,"187612"
"351","1086832","FNB NEWTON BSHRS","2001","COVINGTON",257729,"329079"
"352","1090987","MB FNCL","2001","CHICAGO",2304091,"3465853"
"353","1093728","NATIONAL CMRC FC","2001","MEMPHIS",12033674,"19278386"
"354","1094314","CENTRAL BANCOMPANY","2001","JEFFERSON CITY",3694047,"5829973"
"355","1094369","UNION PLANTERS CORP","2001","MEMPHIS",25025676,"33197604"
"356","1094613","DELTA BSHRS CO","2001","SAINT LOUIS",484285,"646178"
"357","1094640","FIRST HORIZON NAT CORP","2001","MEMPHIS",13683981,"20618320"
"358","1094828","SIMMONS FIRST NAT CORP","2001","PINE BLUFF",1283755,"2016918"
"359","1094864","LAKE HAMILTON ENTERPRISES","2001","LITTLE ROCK",144575,"294300"
"360","1095254","MARSHFIELD INVESTMENT CO","2001","SPRINGFIELD",344353,"441723"
"361","1095414","AMERICAN CENTRAL BANCORP","2001","SPRINGFIELD",157222,"221147"
"362","1095423","PULASKI INVESTMENT CORP","2001","LITTLE ROCK",269591,"332813"
"363","1095571","AREA BSHRS CORP","2001","OWENSBORO",1995464,"2988987"
